"track_id";"track_name";"path_";"no_0f_streams";"album_id"
1;"Shivo Hum";"songs/Shivo Hum.mp3";18;0
2;"Keshvaya Namaha";"songs/Keshvaya Namaha.mp3";0;0
3;"Yentho Dooram";"songs/Yentho Dooram.mp3";0;0
4;"Neela Kannula";"songs/Neela Kannula.mp3";0;0
5;"Jagadodharana";"songs/Jagadodharana.mp3";0;0
6;"Sunn Raha Hai";"songs/Sunn Raha Hai.mp3";15;0
7;"Saathiyaa";"songs/Saathiyaa.mp3";0;0
8;"Samjhawan";"songs/Samjhawan.mp3";1;0
9;"Sooraj Dooba Hai";"songs/Sooraj Dooba Hai.mp3";0;0
10;"I Miss You";"songs/I Miss You.mp3";3;1
11;"Hello";"songs/Hello.mp3";18;1
12;"When We Were Young";"songs/When We Were Young.mp3";0;1
13;"Afterglow";"songs/Afterglow.mp3";13;2
14;"False God";"songs/False God.mp3";19;2
15;"I Forgot That You Existed";"songs/I Forgot That You Existed.mp3";1;2
16;"Its Nice To Have A Friend";"songs/Its Nice To Have A Friend.mp3";1;2
17;"London Boy";"songs/London Boy.mp3";4;2
18;"Miss Americana The Heartbreak Prince";"songs/Miss Americana The Heartbreak Prince.mp3";2;2
19;"Paper Rings";"songs/Paper Rings.mp3";8;2
20;"The Man";"songs/The Man.mp3";3;2
21;"Now You re Gone";"songs/Now You re Gone.mp3";1;0
22;"Bad Liar";"songs/Bad Liar.mp3";34;0
23;"Waiting For Love";"songs/Waiting For Love.mp3";2;0
24;"Krishna Nee Begane Baro";"songs/Krishna Nee Begane Baro.mp3";2;0
27;"Abhang";"songs/Abhang.mp3";4;3
28;"Vanajakshi-(Varnam)";"songs/Vanajakshi-(Varnam).mp3";8;3
29;"Krupaya Palaya";"songs/Krupaya Palaya.mp3";0;3
30;"Ragam Tanam Pallavi";"songs/Ragam Tanam Pallavi.mp3";2;3
31;"Sangita Gnanamu";"songs/Sangita Gnanamu.mp3";0;3
32;"Varanarada";"songs/Varanarada.mp3";2;3
33;"Virutham Rama Namame";"songs/Virutham Rama Namame.mp3";1;3
34;"Gnanamosagarada";"songs/Gnanamosagarada.mp3";3;3
35;"Enadu Manam";"songs/Enadu Manam.mp3";4;3
36;"Tillana";"songs/Tillana.mp3";1;3
37;"Geta Sri";"songs/Geta Sri.mp3";8;3
38;"Mangalam";"songs/Mangalam.mp3";0;3
